enormously,tremendously,tremendously,correct
provisions,stipulations,provision,guess
haphazardly,randomly,haphazard,guess
prominent,conspicuous,influential,guess
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,introduction,guess
concisely,succinctly,succinctly,correct
salutes,greetings,salute,guess
solitary,alone,lonely,guess
hasten,accelerate,accelerate,correct
perseverance,endurance,tenacity,guess
fanciful,imaginative,imaginative,correct
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
issues,subjects,issue,guess
furnish,supply,furnished,guess
costly,expensive,expensive,correct
recognized,acknowledged,Recognized,guess
spot,location,spots,guess
make,earn,making,guess
often,frequently,frequently,correct
easygoing,relaxed,affable,guess
debate,argument,debates,guess
narrow,thin,Narrow,guess
arranged,planned,planned,correct
infinite,limitless,limitless,correct
showy,striking,flashy,guess
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,distributing,guess
discrepancies,differences,differences,correct
prolific,productive,Prolific,guess
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,hindquarters,guess
highlight,accentuate,highlights,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,temperate_climate,guess
grin,smile,smile,correct
verbally,orally,verbal,guess
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,eager,guess
situated,positioned,located,guess
principal,major,Principal,guess
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,mundane_tasks,guess
unlikely,improbable,improbable,correct
halfheartedly,apathetically,half_heartedly,guess
annals,chronicles,history,guess
wildly,furiously,crazily,guess
hailed,acclaimed,lauded,guess
command,mastery,commands,guess
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,typically,guess
sustained,prolonged,sustaining,guess
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,NOT FOUND,guess
dissipate,disperse,dissipated,guess
primarily,chiefly,chiefly,correct
colloquial,conversational,slang,guess
resolved,settled,solved,guess
feasible,possible,economically_feasible,guess
expeditiously,rapidly,expeditious_manner,guess
percentage,proportion,proportion,correct
terminated,ended,terminate,guess
uniform,alike,uniforms,guess
figure,solve,figures,guess
sufficient,enough,enough,correct
fashion,manner,fashions,guess
marketed,sold,sold,correct
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,ordinarily,correct
