enormously,tremendously,tremendously,correct
provisions,stipulations,provision,guess
haphazardly,randomly,carelessly,guess
prominent,conspicuous,influential,guess
zenith,pinnacle,pinnacle,correct
flawed,imperfect,discredited,guess
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,introduction,guess
concisely,succinctly,succinctly,correct
salutes,greetings,salute,guess
solitary,alone,confinement,guess
hasten,accelerate,accelerate,correct
perseverance,endurance,tenacity,guess
fanciful,imaginative,whimsical,guess
showed,demonstrated,showing,guess
constantly,continually,continually,correct
issues,subjects,issue,guess
furnish,supply,procure,guess
costly,expensive,expensive,correct
recognized,acknowledged,recognised,guess
spot,location,spots,guess
make,earn,take,guess
often,frequently,frequently,correct
easygoing,relaxed,affable,guess
debate,argument,debates,guess
narrow,thin,thin,correct
arranged,planned,arrange,guess
infinite,limitless,limitless,correct
showy,striking,garish,guess
levied,imposed,fines,guess
deftly,skillfully,skillfully,correct
distribute,circulate,distributing,guess
discrepancies,differences,inconsistencies,guess
prolific,productive,renowned,guess
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,tint,guess
hind,rear,forelegs,guess
highlight,accentuate,highlights,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,subtropical,guess
grin,smile,smile,correct
verbally,orally,harassed,guess
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,eager,guess
situated,positioned,located,guess
principal,major,associate,guess
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,task,guess
unlikely,improbable,likely,guess
halfheartedly,apathetically,cursorily,guess
annals,chronicles,tigernach,guess
wildly,furiously,ridiculously,guess
hailed,acclaimed,praised,guess
command,mastery,commander,guess
concocted,devised,preposterous,guess
prospective,potential,potential,correct
generally,broadly,typically,guess
sustained,prolonged,suffered,guess
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,subside,guess
primarily,chiefly,chiefly,correct
colloquial,conversational,idiomatic,guess
resolved,settled,solved,guess
feasible,possible,viable,guess
expeditiously,rapidly,speedily,guess
percentage,proportion,proportion,correct
terminated,ended,terminate,guess
uniform,alike,uniforms,guess
figure,solve,figures,guess
sufficient,enough,enough,correct
fashion,manner,designer,guess
marketed,sold,sold,correct
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,usually,guess
